Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price (EGP)
Arduino Nano,ATmega328P microcontroller board (compact version),1,Arduino-compatible,A000005,https://docs.arduino.cc/resources/datasheets/A000005-datasheet.pdf,250,250
LDR Sensor,12mm Light Dependent Resistor,1,Generic,GL5528,https://www.acdcshop.gr/content/02-LDR1.pdf,10,10
Buzzer,"5V Active Buzzer, 12mm",1,Generic,TMB12A05,https://static.rapidonline.com/pdf/35-0905_v1.pdf,8,8
LCD 16x2 + I2C Module,16×2 Character LCD Display with I2C backpack,1,Generic,LCD1602 + PCF8574,https://www.handsontec.com/dataspecs/module/I2C_1602_LCD.pdf,60,60
Push Buttons,"Tactile 6×6mm (Up, Down, Select)",3,Generic,6x6x5,https://www.hdk.co.jp/pdf/eng/e291702.pdf,1,3
Resistors,"10k ohm (for LDR divider), 220 ohm (for LCD backlight)",2,Generic,CF-25,https://www.hdk.co.jp/pdf/eng/e291702.pdf,0.25,0.5
Potentiometer,10k ohm Trim Pot for LCD contrast,1,Generic,WH148,https://www.farnell.com/datasheets/1734496.pdf,2,2
Breadboard,400 Tie Points,1,Generic,SYB-400,https://www.farnell.com/datasheets/2622308.pdf,25,25
Jumper Wires,Male to Male / Female to Male assorted pack,1 pack,Generic,,https://www.farnell.com/datasheets/3178883.pdf,10,10
USB Cable,USB Type-A to Mini-B,1,Generic,LCD1602 + PCF8574,https://www.zagroselec.ir/stfiles/getappdocument/1/true/6d0c893d-b3fe-4f8b-82a5-9f4546f9b40d.pdf,40,50
,,,,,,,418.5
